,id,Company,Rocket,Mission,Price
2729,2729,VKS RF,Molniya-M /Block ML,Molniya-1T nâ Â­160,36.57038461538461
2730,2730,Arianespace,Ariane 44LP,"Eutelsat 2F5, Turksat 1A",140.87596899224806
2731,2731,VKS RF,Tsyklon-3,Meteor-3 nâ Â­6 & Tubsat-B,36.57038461538461
2732,2732,Martin Marietta,Titan II(23)G,Clementine,35.0
2733,2733,NASA,Space Shuttle Discovery,STS-60,450.0
2734,2734,MHI,H-II,Ryusei & Myojo,95.1923076923077
2735,2735,Martin Marietta,Titan IV(401)A,Milstar DFS-1,80.15555555555555
2736,2736,CASC,Long March 3A,"Shijian 4, Kuafu-1 (mass simulator)",69.7
2737,2737,VKS RF,Tsyklon-3,Cosmos 2268 to 2273,36.57038461538461
2738,2738,VKS RF,Tsyklon-3,Koronas I,36.57038461538461
2739,2739,NASA,Space Shuttle Columbia,STS-62,450.0
2740,2740,Boeing,Delta II 7925,USA-100 (GPS IIA-15)/SEDS-2,177.28571428571428
2741,2741,Northrop,Minotaur C (Taurus),STEP Mission 0 & DARPASAT,45.0
2742,2742,Boeing,Delta II 7925-8,Galaxy 1R,177.28571428571428
2743,2743,NASA,Space Shuttle Endeavour,STS-59,450.0
2744,2744,Lockheed,Atlas I,GOES-I,35.0
2745,2745,VKS RF,Zenit-2,Cosmos 2278,36.57038461538461
2746,2746,VKS RF,Cosmos-3M (11K65M),Cosmos 2279,36.57038461538461
2747,2747,Martin Marietta,Titan IV(401)A,Trumpet,80.15555555555555
2748,2748,ISRO,ASLV,SROSS C2,32.49295774647887
2749,2749,Northrop,Pegasus/HAPS,STEP-2,40.0
2750,2750,VKS RF,Tsyklon-3,Cosmos 2281,36.57038461538461
2751,2751,Arianespace,Ariane 44LP,"Intelsat 702, STRV 1A & 1B",140.87596899224806
2752,2752,Lockheed,Atlas I,UHF F3,35.0
2753,2753,Northrop,Pegasus XL,STEP-1,40.0
2754,2754,CASC,Long March 2D,FSW-2 No.2,29.75
2755,2755,NASA,Space Shuttle Columbia,STS-65,450.0
2756,2756,Arianespace,Ariane 44L,"Panamsat-2, Yuri-3N",140.87596899224806
2757,2757,VKS RF,Cosmos-3M (11K65M),Nadiezhda nâ Â­7,36.57038461538461
2758,2758,CASC,Long March 3,Apstar-1,39.13066945606695
2759,2759,VKS RF,Cosmos-3M (11K65M),Cosmos 2285,36.57038461538461
2760,2760,Lockheed,Atlas IIA,DBS-2,35.0
2761,2761,VKS RF,Molniya-M /Block 2BL,Cosmos 2286,36.57038461538461
2762,2762,Arianespace,Ariane 44LP,"Brasilsat B1, Turksat 1B",140.87596899224806
2763,2763,VKS RF,Molniya-M /Block ML,Molniya-3 nâ Â­161,36.57038461538461
2764,2764,VKS RF,Zenit-2,Cosmos 2290,36.57038461538461
2765,2765,Martin Marietta,Titan IV(401)A,Mercury,80.15555555555555
2766,2766,CASC,Long March 2E,Optus-B3,39.13066945606695
2767,2767,MHI,H-II,Kiku 6,95.1923076923077
2768,2768,General Dynamics,Atlas-E/F Star-37S-ISS,DMSP F-12,
2769,2769,Northrop,Pegasus,APEX,40.0
2770,2770,Arianespace,Ariane 42L,Telstar 402,140.87596899224806
2771,2771,NASA,Space Shuttle Discovery,STS-64,450.0
2772,2772,VKS RF,Cosmos-3M (11K65M),Cosmos 2292,36.57038461538461
2773,2773,NASA,Space Shuttle Endeavour,STS-68,450.0
2774,2774,Lockheed,Atlas IIAS,Intelsat 703,35.0
2775,2775,Arianespace,Ariane 44L,"Solidaridad-2, Thaicom-2",140.87596899224806
2776,2776,VKS RF,Tsyklon-3,Okean 4,36.57038461538461
2777,2777,ISRO,PSLV-G,IRS-P2,25.0
2778,2778,Arianespace,Ariane 42P,Astra 1D,140.87596899224806
2779,2779,Boeing,Delta II 7925-10,Wind,177.28571428571428
2780,2780,VKS RF,Tsyklon-2,Cosmos 2293,36.57038461538461
2781,2781,NASA,Space Shuttle Atlantis,STS-66,450.0
2782,2782,VKS RF,Zenit-2,Resurs-O1 nâ Â­3,36.57038461538461
2783,2783,VKS RF,Zenit-2,Cosmos 2297,36.57038461538461
2784,2784,VKS RF,Tsyklon-3,Geo-IK 1,36.57038461538461
2785,2785,Lockheed,Atlas IIA,Orion 1,35.0
2786,2786,CASC,Long March 3A,Chinasat-5,69.7
2787,2787,Arianespace,Ariane 42P,Panamsat-3,140.87596899224806
2788,2788,VKS RF,Molniya-M /Block ML,Molniya-1T nâ Â­162,36.57038461538461
2789,2789,VKS RF,Cosmos-3M (11K65M),Cosmos 2298,36.57038461538461
2790,2790,Martin Marietta,Titan IV(402)A,DSP,80.15555555555555
2791,2791,VKS RF,Tsyklon-3,Cosmos 2299 to 2304,36.57038461538461
2792,2792,VKS RF,Rokot/Briz K,Radio-ROSTO,36.57038461538461
2793,2793,General Dynamics,Atlas-E/F Star-37S-ISS,NOAA-J,
2794,2794,ILS,Atlas IIAS,Intelsat 704,101.53846153846153
2795,2795,ISAS,Mu-III S2,EXPRESS,
2796,2796,VKS RF,Cosmos-3M (11K65M),"Tsikada 1, Faisat 1 & Astrid 1",36.57038461538461
2797,2797,CASC,Long March 2E,Apstar 2,39.13066945606695
2798,2798,Lockheed,Atlas II,USA-108 (UHF F4),35.0
2799,2799,NASA,Space Shuttle Discovery,STS-63,450.0
2800,2800,NASA,Space Shuttle Endeavour,STS-67,450.0
2801,2801,VKS RF,Cosmos-3M (11K65M),Cosmos 2306,36.57038461538461
2802,2802,MHI,H-II,Himawari 5 & SFU 1,95.1923076923077
2803,2803,VKS RF,Cosmos-3M (11K65M),Cosmos 2310,36.57038461538461
2804,2804,ILS,Atlas IIAS,Intelsat 705,101.53846153846153
2805,2805,General Dynamics,Atlas-E/F Star-37S-ISS,DMSP F-13,
2806,2806,MITT,Start,"EKA-2, Gurwin & UNAMSAT A",
2807,2807,Arianespace,Ariane 44LP,"Brasilsat B2, Hot Bird 1",140.87596899224806
2808,2808,Northrop,Pegasus,Orbcomm F1 and F2 & OrbView-1,40.0
2809,2809,IAI,Shavit,Ofek-3,
2810,2810,ILS,Atlas IIA,AMSC-1,101.53846153846153
2811,2811,Arianespace,Ariane 40,ERS-2,140.87596899224806
2812,2812,Lockheed,Titan IV(401)A,Mentor,35.0
2813,2813,Arianespace,Ariane 44LP,Intelsat 706,140.87596899224806
2814,2814,Lockheed,Atlas I,GOES-J,35.0
2815,2815,VKS RF,Molniya-M /Block 2BL,Cosmos 2312,36.57038461538461
2816,2816,Lockheed,Atlas II,USA-111 (UHF F5),35.0
2817,2817,VKS RF,Tsyklon-2,Cosmos 2313,36.57038461538461
2818,2818,Arianespace,Ariane 42P,DBS-3,140.87596899224806
2819,2819,Northrop,Pegasus XL,STEP-3,40.0
2820,2820,NASA,Space Shuttle Atlantis,STS-71,450.0
2821,2821,VKS RF,Cosmos-3M (11K65M),Cosmos 2315,36.57038461538461
2822,2822,Arianespace,Ariane 40,"Helios 1A, Cerise, LBSAT-1",140.87596899224806
2823,2823,Lockheed,Titan IV(401)A,Trumpet,35.0
2824,2824,NASA,Space Shuttle Discovery,STS-70,450.0
2825,2825,Lockheed,Atlas IIA,USA-113 (DSCS IIIB-7),35.0
2826,2826,RVSN USSR,Molniya-M /Block SO-L,Interbol 1 & Magion 4,5000.0
2827,2827,Arianespace,Ariane 42L,Panamsat-4,140.87596899224806
2828,2828,VKS RF,Molniya-M /Block ML,Molniya-3 nâ Â­163,36.57038461538461
2829,2829,Lockheed,Athena I,GemStar 1,35.0
2830,2830,ILS,Atlas IIAS,JCSAT-3,101.53846153846153
2831,2831,Arianespace,Ariane 42P,N-Star A,140.87596899224806
2832,2832,VKS RF,Tsyklon-3,Sich 1 & FASat Alfa,36.57038461538461
2833,2833,Boeing,Delta II 7925,Koreasat 1,177.28571428571428
2834,2834,NASA,Space Shuttle Endeavour,STS-69,450.0
2835,2835,Arianespace,Ariane 42L,Telstar 402R,140.87596899224806
2836,2836,VKS RF,Cosmos-3M (11K65M),Cosmos 2321,36.57038461538461
2837,2837,Arianespace,Ariane 42L,Astra 1E,140.87596899224806
2838,2838,NASA,Space Shuttle Columbia,STS-73,450.0
2839,2839,Lockheed,Atlas II,USA-114 (UHF F6),35.0
2840,2840,EER,Conestoga-1620,METEOR,20.0
2841,2841,VKS RF,Zenit-2,Cosmos 2322,36.57038461538461
2842,2842,Boeing,Delta II 7920-10,RADARSAT-1 and SURFSAT,177.28571428571428
2843,2843,Lockheed,Titan IV(401)A,Milstar DFS-2,35.0
2844,2844,NASA,Space Shuttle Atlantis,STS-74,450.0
2845,2845,Arianespace,Ariane 44P,Infrared Space Observatory,140.87596899224806
2846,2846,CASC,Long March 2E,AsiaSat 2,39.13066945606695
2847,2847,Lockheed,Atlas IIAS,SOHO,35.0
2848,2848,Lockheed,Titan IV(404)A,KH-11 Kennen,35.0
2849,2849,Arianespace,Ariane 44L,"Telecom 2C, Insat 2C",140.87596899224806
2850,2850,Lockheed,Atlas IIA,Galaxy 3R,35.0
2851,2851,VKS RF,Tsyklon-2,Cosmos 2326,36.57038461538461
2852,2852,VKS RF,Molniya-M /Block 2BL,IRS-1C & Skipper,36.57038461538461
2853,2853,CASC,Long March 2E,EchoStar 1,39.13066945606695
2854,2854,Boeing,Delta II 7920-10,XTE,177.28571428571428
2855,2855,NASA,Space Shuttle Endeavour,STS-72,450.0
2856,2856,Arianespace,Ariane 44L,"Panamsat-3R, Measat-1",140.87596899224806
2857,2857,Boeing,Delta II 7925,Koreasat-2,177.28571428571428
2858,2858,VKS RF,Cosmos-3M (11K65M),Cosmos 2327,36.57038461538461
2859,2859,ILS,Atlas IIAS,Palapa C1,101.53846153846153
2860,2860,Arianespace,Ariane 44P,N-Star B,140.87596899224806
2861,2861,CASC,Long March 3B,Intelsat 708,39.13066945606695
2862,2862,Boeing,Delta II 7925-8,NEAR,177.28571428571428
2863,2863,VKS RF,Tsyklon-3,Cosmos 2328 to 2330 & Gonets 1 to 3,36.57038461538461
2864,2864,NASA,Space Shuttle Columbia,STS-75,450.0
2865,2865,Boeing,Delta II 7925-10,Polar,177.28571428571428
2866,2866,Northrop,Pegasus XL,REX II,40.0
2867,2867,Arianespace,Ariane 44LP,Intelsat 707,140.87596899224806
2868,2868,ISRO,PSLV-G,IRS-P3,25.0
2869,2869,NASA,Space Shuttle Atlantis,STS-76,450.0
2870,2870,Boeing,Delta II 7925,USA-117 (GPS IIA-16),177.28571428571428
2871,2871,ILS,Atlas IIA,Inmarsat 3-F1,101.53846153846153
2872,2872,Arianespace,Ariane 42P,M-SAT-1,140.87596899224806
2873,2873,Boeing,Delta II 7920-10,MSX,177.28571428571428
2874,2874,VKS RF,Cosmos-3M (11K65M),Cosmos 2265,36.57038461538461
2875,2875,Lockheed,Titan IV(401)A,Mercury,35.0
2876,2876,Lockheed,Atlas I,BeppoSAX,35.0
2877,2877,Lockheed,Titan IV(403)A,"SLDCOM, NOSS 3x, TiPS 2x",35.0
2878,2878,Arianespace,Ariane 44L,"Palapa C2, AMOS-1",140.87596899224806
2879,2879,Northrop,Pegasus,MSTI-3,40.0
2880,2880,NASA,Space Shuttle Endeavour,STS-77,450.0
2881,2881,Boeing,Delta II 7925,Galaxy 9,177.28571428571428
2882,2882,ESA,Ariane 5 G,Cluster,37.0
2883,2883,Arianespace,Ariane 44P,Intelsat 709,140.87596899224806
2884,2884,NASA,Space Shuttle Columbia,STS-78,450.0
2885,2885,Northrop,Pegasus XL,TOMS,40.0
2886,2886,Lockheed,Titan IV(405)A,SDS,35.0
2887,2887,CASC,Long March 3,Apstar 1A,39.13066945606695
2888,2888,Arianespace,Ariane 44L,"Arabsat-2A, T??rksat 1C",140.87596899224806
2889,2889,Boeing,Delta II 7925,USA-126 (GPS IIA-17),177.28571428571428
2890,2890,Lockheed,Atlas II,UHF F7,35.0
2891,2891,Arianespace,Ariane 44L,"Italsat F2, Telecom 2D",140.87596899224806
2892,2892,VKS RF,Molniya-M /Block ML,Molniya-1T nâ Â­164,36.57038461538461
2893,2893,MHI,H-II (2 SSB),Fuji 2 & Midori,95.1923076923077
2894,2894,CASC,Long March 3,Chinasat-7,39.13066945606695
2895,2895,Northrop,Pegasus XL,FAST,40.0
2896,2896,RVSN USSR,Molniya-M /Block SO-L,"Interbol 2, Magion5 & Victor",5000.0
2897,2897,VKS RF,Zenit-2,Cosmos 2333,36.57038461538461
2898,2898,VKS RF,Cosmos-3M (11K65M),Cosmos 2334 & UNAMSAT-B,36.57038461538461
2899,2899,ILS,Atlas IIA,GE-1,101.53846153846153
2900,2900,Arianespace,Ariane 42P,Echostar-2,140.87596899224806
2901,2901,Boeing,Delta II 7925,USA-128 (GPS IIA-18),177.28571428571428
2902,2902,NASA,Space Shuttle Atlantis,STS-79,450.0
2903,2903,CASC,Long March 2D,FSW-2 No.3,29.75
2904,2904,VKS RF,Molniya-M /Block ML,Molniya-3 nâ Â­165,36.57038461538461
2905,2905,Northrop,Pegasus XL,HETE & SAC-B,40.0
2906,2906,Boeing,Delta II 7925,Mars Global Surveyor,177.28571428571428
2907,2907,Arianespace,Ariane 44L,"Arabsat-2B, Measat-2",140.87596899224806
2908,2908,ILS,Atlas IIA,Hot Bird 2,101.53846153846153
