bet_id;Account_no;Bet_date;Class_ id;Category_id;Source;bet_count;bet_amt;win_amt;Product
907;00775SM   ;01/10/2012;BONS_GAM;0;I;0;0;2,5;Games
908;00775SM   ;07/10/2012;22508_RTNS;22508;I;0;0;526;Bingo
909;00775SM   ;17/10/2012;BONS_VEGA;0;I;0;0;3;Vegas
910;00C017    ;07/09/2012;22527_SALE;22527;I;0;0;200;Poker
911;00C017    ;10/09/2012;22508_RTNS;22508;I;0;0;524,43;Bingo
912;00C017    ;10/09/2012;22527_SALE;22527;I;0;0;900;Poker
913;00C017    ;28/09/2012;22508_RTNS;22508;I;0;0;255,66;Bingo
914;00C017    ;28/09/2012;22527_SALE;22527;I;0;0;400;Poker
915;00C017    ;29/09/2012;22527_SALE;22527;I;0;0;100;Poker
916;00C017    ;11/10/2012;22527_SALE;22527;I;0;0;250;Poker
917;00C017    ;19/10/2012;22527_SALE;22527;I;0;0;100;Poker
918;00C017    ;19/10/2012;22508_RTNS;22508;I;0;0;0;Bingo
919;00C017    ;26/10/2012;22527_SALE;22527;I;0;0;200;Poker
920;00C017    ;12/11/2012;22527_SALE;22527;I;0;0;1500;Poker
921;00C017    ;18/11/2012;22527_SALE;22527;I;0;0;4000;Poker
922;00C017    ;24/11/2012;22527_SALE;22527;I;0;0;200;Poker
923;00C017    ;25/11/2012;22527_SALE;22527;I;0;0;500;Poker
924;00C017    ;30/11/2012;22527_SALE;22527;I;0;0;1000;Poker
925;00C017    ;01/12/2012;22527_SALE;22527;I;0;0;1000;Poker
926;00C017    ;02/12/2012;22508_RTNS;22508;I;0;0;233;Bingo
927;00C017    ;14/12/2012;22527_SALE;22527;I;0;0;500;Poker
928;00C017    ;21/12/2012;22527_SALE;22527;I;0;0;500;Poker
929;00C017    ;29/12/2012;22508_RTNS;22508;I;0;0;34;Bingo
930;00C017    ;29/12/2012;22527_SALE;22527;I;0;0;600;Poker
931;00J381    ;11/09/2012;45;17;M;0;0;460,89;Sportsbook
932;00J381    ;23/09/2012;5;11;M;0;0;1194;Sportsbook
933;00J381    ;30/09/2012;385;6;M;0;0;280;Sportsbook
934;00J381    ;08/10/2012;40;6;M;0;0;511,31;Sportsbook
935;00J381    ;08/11/2012;2;9;M;1;0;0;Sportsbook
936;00J381    ;25/11/2012;40;6;M;0;0;474,31;Sportsbook
937;00J381    ;09/12/2012;42;4;M;0;0;610;Sportsbook
938;01148BP   ;17/10/2012;GWIL_SPRT;0;I;0;0;800;Sportsbook
939;01148BP   ;20/11/2012;BETC_RET;0;I;0;0;500;Sportsbook
940;01148BP   ;09/12/2012;BONS_SPRB;0;I;0;0;100;Sportsbook
941;01152SJ   ;01/09/2012;22527_SALE;22527;I;0;0;884,788;Poker
942;01152SJ   ;01/09/2012;22528_SALE;22528;I;0;0;631,9914;Casino
943;01152SJ   ;04/09/2012;22527_SALE;22527;I;0;0;509,8954;Poker
944;01152SJ   ;04/09/2012;22528_SALE;22528;I;0;0;630,2786;Casino
945;01152SJ   ;06/09/2012;22527_SALE;22527;I;0;0;586,717;Poker
946;01152SJ   ;08/09/2012;22527_SALE;22527;I;0;0;1508,2825;Poker
947;01152SJ   ;08/09/2012;22528_SALE;22528;I;0;0;565,6067;Casino
948;01152SJ   ;09/09/2012;22527_SALE;22527;I;0;0;1628,6644;Poker
949;01152SJ   ;09/09/2012;22528_SALE;22528;I;0;0;1002,2551;Casino
950;01152SJ   ;14/09/2012;22527_SALE;22527;I;0;0;374,4562;Poker
951;01152SJ   ;15/09/2012;22528_SALE;22528;I;0;0;124,0926;Casino
952;01152SJ   ;19/09/2012;22527_SALE;22527;I;0;0;123,2058;Poker
953;01152SJ   ;23/09/2012;22528_SALE;22528;I;0;0;12,3084;Casino
954;01152SJ   ;26/09/2012;22527_SALE;22527;I;0;0;645,7383;Poker
955;01152SJ   ;26/09/2012;22528_SALE;22528;I;0;0;214,0126;Casino
956;01152SJ   ;01/10/2012;22528_SALE;22528;I;0;0;620,0903;Casino
957;01152SJ   ;04/10/2012;22528_SALE;22528;I;0;0;920,4088;Casino
958;01152SJ   ;04/10/2012;22527_SALE;22527;I;0;0;864,3543;Poker
959;01152SJ   ;11/10/2012;22527_SALE;22527;I;0;0;374,5318;Poker
960;01152SJ   ;13/10/2012;22527_SALE;22527;I;0;0;1060,9748;Poker
961;01152SJ   ;13/10/2012;22528_SALE;22528;I;0;0;400,0499;Casino
962;01152SJ   ;14/10/2012;22527_SALE;22527;I;0;0;2365,0121;Poker
963;01152SJ   ;14/10/2012;22528_SALE;22528;I;0;0;949,7415;Casino
964;01152SJ   ;15/10/2012;22528_SALE;22528;I;0;0;1557,7677;Casino
965;01152SJ   ;15/10/2012;22527_SALE;22527;I;0;0;2115,3487;Poker
966;01152SJ   ;16/10/2012;22527_SALE;22527;I;0;0;2239,781;Poker
967;01152SJ   ;16/10/2012;22528_SALE;22528;I;0;0;2177,5649;Casino
968;01152SJ   ;17/10/2012;22527_SALE;22527;I;0;0;4110,1009;Poker
